Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C1711 ,C_0805_2012Metric,29.2,-24.85,0,top
C2,C1711 ,C_0805_2012Metric,54.2,-24.4,0,top
C3,C1711 ,C_0805_2012Metric,78.9,-25,0,top
C4,C1711 ,C_0805_2012Metric,103.8,-24.7,0,top
C5,C1711 ,C_0805_2012Metric,29.15,-49.2,0,top
C6,C1711 ,C_0805_2012Metric,53.8,-49.55,0,top
C7,C1711 ,C_0805_2012Metric,78.85,-49.45,0,top
C8,C1711 ,C_0805_2012Metric,103.8,-49.75,0,top
C9,C1711 ,C_0805_2012Metric,28.85,-74.6,0,top
C10,C1711 ,C_0805_2012Metric,53.725,-74.65,0,top
C11,C1711 ,C_0805_2012Metric,78.825,-74.55,0,top
C12,C1711 ,C_0805_2012Metric,103.775,-75,0,top
C13,C1711 ,C_0805_2012Metric,28.75,-99.3,0,top
C14,C1711 ,C_0805_2012Metric,53.9,-99.25,0,top
C15,C1711 ,C_0805_2012Metric,78.8,-99.45,0,top
C16,C1711 ,C_0805_2012Metric,103.85,-99.35,0,top
D1,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,29.8,-29.6,0,top
D2,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,54.8,-29.6,0,top
D3,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,79.8,-29.6,0,top
D4,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,104.8,-29.6,0,top
D5,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,29.8,-54.6,0,top
D6,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,54.8,-54.6,0,top
D7,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,79.8,-54.6,0,top
D8,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,104.8,-54.6,0,top
D9,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,29.8,-79.6,0,top
D10,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,54.8,-79.6,0,top
D11,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,79.8,-79.6,0,top
D12,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,104.8,-79.6,0,top
D13,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,29.8,-104.6,0,top
D14,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,54.8,-104.6,0,top
D15,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,79.8,-104.6,0,top
D16,C527089,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,104.8,-104.6,0,top
